word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0051998000126332045,0.0204788000555709,1.007412699982524,,,,,,,,,,,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,0,0,0,r,1,1.5301824000198394,None,0,0,0,0,1.0364420000696555,,,,,1.0272066000616178,1.0364420000696555,1.5056815000716597,1.5056815000716597,1.5056815000716597,3.048435000004247,r,1,1.5301824000198394,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,1,1,0,b,1,1.5957081000087783,None,0,1,1,3,3.0710312000010163,,,,,3.055081699974835,3.0710312000010163,3.554591500083916,3.554591500083916,3.554591500083916,5.158342399983667,b,1,1.5957081000087783,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,2,2,0,r,1,2.0140688000246882,None,0,2,2,2,5.171938000014052,,,,,5.158918900066055,5.171938000014052,5.672445900039747,5.672445900039747,5.672445900039747,7.689640299999155,r,1,2.0140688000246882,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,3,3,0,b,1,1.7340908999321982,None,0,3,3,1,7.704380100010894,,,,,7.69128999998793,7.704380100010894,8.204598500044085,8.204598500044085,8.204598500044085,9.94063800002914,b,1,1.7340908999321982,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,4,0,1,b,1,1.725401600007899,None,1,0,4,1,9.954265500069596,,,,,9.941132500069216,9.954265500069596,10.454901300021447,10.454901300021447,10.454901300021447,12.189297700067982,b,1,1.725401600007899,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,5,1,1,r,1,1.5383484999183565,None,1,1,5,2,12.204233400058001,,,,,12.191542700049467,12.204233400058001,12.705528200021945,12.705528200021945,12.705528200021945,14.259146500029601,r,1,1.5383484999183565,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,6,2,1,r,1,0.48423239996191114,None,1,2,6,0,14.271456000045873,,,,,14.262024500058033,14.271456000045873,14.77193950000219,14.77193950000219,14.77193950000219,15.258629700052552,r,1,0.48423239996191114,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.6321793999522924,None,1,3,7,3,15.27150310005527,,,,,15.261546200024895,15.27150310005527,15.771760600036941,15.771760600036941,15.771760600036941,16.408947300049476,b,1,0.6321793999522924,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,8,0,2,r,1,0.7651872000424191,None,2,0,8,0,16.421091000083834,,,,,16.411778000066988,16.421091000083834,16.92108660005033,16.92108660005033,16.92108660005033,17.690057900035754,r,1,0.7651872000424191,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,9,1,2,r,1,1.5248747000005096,None,2,1,9,2,17.704041099990718,,,,,17.692567400052212,17.704041099990718,18.204124700045213,18.204124700045213,18.204124700045213,19.741891900077462,r,1,1.5248747000005096,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,10,2,2,b,1,0.8782124000135809,None,2,2,10,3,19.75518189999275,,,,,19.74238279997371,19.75518189999275,20.255105299991556,20.255105299991556,20.255105299991556,21.141603900003247,b,1,0.8782124000135809,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,11,3,2,b,1,2.2574043999193236,None,2,3,11,1,21.155173600069247,,,,,21.144774800050072,21.155173600069247,21.65474200004246,21.65474200004246,21.65474200004246,23.92607400007546,b,1,2.2574043999193236,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,12,0,3,r,1,0.924306400003843,None,3,0,12,0,23.93839620007202,,,,,23.926606200053357,23.93839620007202,24.4368232000852,24.4368232000852,24.4368232000852,25.37638460006565,r,1,0.924306400003843,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
