word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
BLUE,blue,C,b,13,1,3,b,1,0.8847071999916807,None,3,1,13,3,25.38785860000644,,,,,25.379198200069368,25.38785860000644,25.887458399985917,25.887458399985917,25.887458399985917,26.77648160001263,b,1,0.8847071999916807,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,14,2,3,b,0,1.8611462999833748,None,3,2,14,2,26.788274400052615,,,,,26.777077300008386,26.788274400052615,27.287868899991736,27.287868899991736,27.287868899991736,29.15894610004034,b,0,1.8611462999833748,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,15,3,3,b,1,1.8896294999867678,None,3,3,15,1,29.17131430003792,,,,,29.16209150000941,29.17131430003792,29.67195420002099,29.67195420002099,29.67195420002099,31.575188099988736,b,1,1.8896294999867678,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,16,0,4,b,1,1.5687253000214696,None,4,0,16,1,31.587901500053704,,,,,31.575729300035164,31.587901500053704,32.08706390007865,32.08706390007865,32.08706390007865,33.65855769999325,b,1,1.5687253000214696,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,17,1,4,b,1,0.7107008999446407,None,4,1,17,3,33.671299100038595,,,,,33.66176579997409,33.671299100038595,34.17036960006226,34.17036960006226,34.17036960006226,34.892034200020134,b,1,0.7107008999446407,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,18,2,4,r,1,1.8894423000747338,None,4,2,18,2,34.904119400074705,,,,,34.89251739997417,34.904119400074705,35.404030499979854,35.404030499979854,35.404030499979854,37.30846670002211,r,1,1.8894423000747338,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,19,3,4,r,1,1.731249799951911,None,4,3,19,0,37.32141159998719,,,,,37.31136450008489,37.32141159998719,37.8206843000371,37.8206843000371,37.8206843000371,39.558899600058794,r,1,1.731249799951911,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,20,0,5,r,1,2.1161929999943823,None,5,0,20,2,39.571161700063385,,,,,39.56193980004173,39.571161700063385,40.07050180004444,40.07050180004444,40.07050180004444,42.192083599977195,r,1,2.1161929999943823,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,21,1,5,b,1,1.288728000014089,None,5,1,21,1,42.20419680001214,,,,,42.19495759997517,42.20419680001214,42.70457830000669,42.70457830000669,42.70457830000669,44.00841210002545,b,1,1.288728000014089,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,22,2,5,b,1,0.4991421999875456,None,5,2,22,3,44.02158549998421,,,,,44.011585899977945,44.02158549998421,44.520854000002146,44.520854000002146,44.520854000002146,45.02573780005332,b,1,0.4991421999875456,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,23,3,5,r,1,0.5638347999192774,None,5,3,23,0,45.03722800000105,,,,,45.028823900036514,45.03722800000105,45.53794080007356,45.53794080007356,45.53794080007356,46.107617200003006,r,1,0.5638347999192774,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,24,0,6,b,1,1.431312600034289,None,6,0,24,1,46.12113220000174,,,,,46.108116100076586,46.12113220000174,46.62045659997966,46.62045659997966,46.62045659997966,48.05880870006513,b,1,1.431312600034289,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,25,1,6,b,1,1.1161373000359163,None,6,1,25,3,48.071116400067694,,,,,48.06215050001629,48.071116400067694,48.571149000083096,48.571149000083096,48.571149000083096,49.69063920003828,b,1,1.1161373000359163,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,26,2,6,r,1,1.7781178000150248,None,6,2,26,2,49.70447720005177,,,,,49.69113920000382,49.70447720005177,50.20333380007651,50.20333380007651,50.20333380007651,51.99182690004818,r,1,1.7781178000150248,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,27,3,6,r,1,0.8611515000229701,None,6,3,27,0,52.00418340007309,,,,,51.9952145999996,52.00418340007309,52.50484660000075,52.50484660000075,52.50484660000075,53.376538400072604,r,1,0.8611515000229701,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,28,0,7,r,1,0.6092165000736713,None,7,0,28,0,53.38733779999893,,,,,53.377092299982905,53.38733779999893,53.88845179998316,53.88845179998316,53.88845179998316,54.50947689998429,r,1,0.6092165000736713,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,29,1,7,b,1,0.8430572999641299,None,7,1,29,3,54.520897899987176,,,,,54.51257450005505,54.520897899987176,55.02035150001757,55.02035150001757,55.02035150001757,55.874494799994864,b,1,0.8430572999641299,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,30,2,7,b,1,0.9698280999436975,None,7,2,30,1,55.887305499985814,,,,,55.877236400032416,55.887305499985814,56.38675509998575,56.38675509998575,56.38675509998575,57.358543100068346,b,1,0.9698280999436975,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,31,3,7,r,1,2.4886011000489816,None,7,3,31,2,57.37095310003497,,,,,57.361685000010766,57.37095310003497,57.871223800000735,57.871223800000735,57.871223800000735,60.37496679998003,r,1,2.4886011000489816,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,32,0,8,b,1,1.016417800099589,None,8,0,32,1,60.38702410005499,,,,,60.37820570007898,60.38702410005499,60.88665350002702,60.88665350002702,60.88665350002702,61.90489900007378,b,1,1.016417800099589,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,33,1,8,b,1,1.2404762000078335,None,8,1,33,3,61.919244199991226,,,,,61.906862500007264,61.919244199991226,62.419244899996556,62.419244899996556,62.419244899996556,63.672939100069925,b,1,1.2404762000078335,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,34,2,8,r,1,2.2348904999671504,None,8,2,34,2,63.687963200034574,,,,,63.673424800042994,63.687963200034574,64.18817350000609,64.18817350000609,64.18817350000609,66.42443260003347,r,1,2.2348904999671504,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,35,3,8,r,1,0.8216006000293419,None,8,3,35,0,66.43759830005001,,,,,66.42729959997814,66.43759830005001,66.93705389997922,66.93705389997922,66.93705389997922,67.75983530003577,r,1,0.8216006000293419,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,red,C,r,36,0,9,r,1,0.7014644000446424,None,9,0,36,0,67.77042810001876,,,,,67.76041960006114,67.77042810001876,68.27083930000663,68.27083930000663,68.27083930000663,68.9754910999909,r,1,0.7014644000446424,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,red,I,r,37,1,9,r,1,3.077650099992752,None,9,1,37,2,68.98709110007621,,,,,68.97852750006132,68.98709110007621,69.48657589999493,69.48657589999493,69.48657589999493,72.5734448999865,r,1,3.077650099992752,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
BLUE,blue,C,b,38,2,9,b,1,1.1176927000051364,None,9,2,38,3,72.58664710004814,,,,,72.57397420005873,72.58664710004814,73.08727530005854,73.08727530005854,73.08727530005854,74.20744700008072,b,1,1.1176927000051364,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
RED,blue,I,b,39,3,9,b,1,3.076176199945621,None,9,3,39,1,74.22040470002685,,,,,74.21038389997557,74.22040470002685,74.72103580005933,74.72103580005933,74.72103580005933,77.80757110007107,b,1,3.076176199945621,None,,,,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.80774229997769,77.81941230001394,78.80802990007214,participant 5,001,2025-08-25_22h32.23.423,Stroop task,,2025.1.1,59.51729097378295,2025-08-25 22h32.32.856886 +0530,
