flanker,correctAns,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,intro.started,space.started,Instructions.stopped,space.keys,space.rt,space.duration,trial.started,fixation.started,Flankerstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,thanks.started,thanks.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002999599906615913,0.01183789991773665,0.01183789991773665,1.4702535999240354,space,1.4094203000422567,None,,,,,,,,,,,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
<<><<,right,incongruent,0,0,0,right,1,1.4678396999370307,None,0,0,0,2,1.5274438998894766,,,,,,,,,1.5198418999789283,1.5274438998894766,2.4825193999568,2.4825193999568,2.5329798999009654,3.9673940999200568,right,1,1.4678396999370307,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
<<<<<,left,congruent,1,1,0,left,1,0.7904341999674216,None,0,1,1,0,3.982209499925375,,,,,,,,,3.972804099903442,3.982209499925375,4.982214399962686,4.982214399962686,4.982214399962686,5.783337999950163,left,1,0.7904341999674216,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
>>>>>,right,congruent,2,2,0,right,1,0.4018180000130087,None,0,2,2,1,5.799254199955612,,,,,,,,,5.787130499957129,5.799254199955612,6.798752499977127,6.798752499977127,6.798752499977127,7.216442399891093,right,1,0.4018180000130087,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
>><>>,left,incongruent,3,3,0,left,1,0.5644120000069961,None,0,3,3,3,7.232396699953824,,,,,,,,,7.220238499925472,7.232396699953824,8.21540909993928,8.21540909993928,8.231967499945313,8.783757800003514,left,1,0.5644120000069961,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
>>>>>,right,congruent,4,0,1,right,1,0.5656542000360787,None,1,0,4,1,8.799197599990293,,,,,,,,,8.788269499898888,8.799197599990293,9.799234199919738,9.799234199919738,9.799234199919738,10.366138999932446,right,1,0.5656542000360787,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
<<><<,right,incongruent,5,1,1,right,1,0.6876950999721885,None,1,1,5,2,10.382369799888693,,,,,,,,,10.370265899924561,10.382369799888693,11.381446499959566,11.381446499959566,11.381446499959566,12.083171199890785,right,1,0.6876950999721885,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
>><>>,left,incongruent,6,2,1,left,1,1.180024900007993,None,1,2,6,3,12.09914789989125,,,,,,,,,12.08756299992092,12.09914789989125,13.09845689998474,13.09845689998474,13.09845689998474,14.282463899930008,left,1,1.180024900007993,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
<<<<<,left,congruent,7,3,1,left,1,0.4283350999467075,None,1,3,7,0,14.298564599943347,,,,,,,,,14.286569999996573,14.298564599943347,15.282683599973097,15.282683599973097,15.298743299907073,15.715587899903767,left,1,0.4283350999467075,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
<<><<,right,incongruent,8,0,2,right,1,1.425338799948804,None,2,0,8,2,15.73137759999372,,,,,,,,,15.719630199950188,15.73137759999372,16.715237099910155,16.715237099910155,16.73141179990489,18.149711999925785,right,1,1.425338799948804,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
>><>>,left,incongruent,9,1,2,left,1,0.8112370000453666,None,2,1,9,3,18.165609899908304,,,,,,,,,18.15530929993838,18.165609899908304,19.16481849993579,19.16481849993579,19.16481849993579,19.982294199988246,left,1,0.8112370000453666,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
>>>>>,right,congruent,10,2,2,right,1,0.8871855000033975,None,2,2,10,1,19.998329099966213,,,,,,,,,19.986361799994484,19.998329099966213,20.982240099925548,20.982240099925548,20.999437199905515,21.882079100003466,right,1,0.8871855000033975,None,,,,,participant_3,001,2025-11-10_20h20.37.128,Deeya Flanker,,2025.1.1,59.84601618436987,2025-11-10 20h20.49.848906 +0530,
