flanker,correctAns,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,intro.started,space.started,Instructions.stopped,space.keys,space.rt,space.duration,trial.started,fixation.started,Flankerstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,thanks.started,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0028927999082952738,0.01773049996700138,0.01773049996700138,1.0202762999106199,space,0.9801157000474632,None,,,,,,,,,,,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,0,0,0,right,1,0.6992848999798298,None,0,0,0,1,1.0418821999337524,,,,,,,,,1.0358452999498695,1.0418821999337524,2.0267672999762,2.0267672999762,2.0434642999898642,2.7439638999057934,right,1,0.6992848999798298,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,1,1,0,left,1,1.1610710999229923,None,0,1,1,3,2.759430199977942,,,,,,,,,2.749607599922456,2.759430199977942,3.7428607000038028,3.7428607000038028,3.7594657000154257,4.910094499937259,left,1,1.1610710999229923,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,2,2,0,left,1,0.5784833000507206,None,0,2,2,0,4.925805300008506,,,,,,,,,4.913425699924119,4.925805300008506,5.925859699957073,5.925859699957073,5.925859699957073,6.510916200000793,left,1,0.5784833000507206,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,3,3,0,right,1,0.7383940001018345,None,0,3,3,2,6.526764199952595,,,,,,,,,6.515130899962969,6.526764199952595,7.510330499964766,7.510330499964766,7.526684899930842,8.26014349993784,right,1,0.7383940001018345,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,4,0,1,left,1,1.1828182999743149,None,1,0,4,0,8.275952599942684,,,,,,,,,8.26429449999705,8.275952599942684,9.25978279998526,9.25978279998526,9.27649889991153,10.44439630000852,left,1,1.1828182999743149,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,5,1,1,left,1,1.9704952000174671,None,1,1,5,3,10.459522599936463,,,,,,,,,10.448920599999838,10.459522599936463,11.46000500000082,11.46000500000082,11.46000500000082,13.445038000005297,left,1,1.9704952000174671,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,6,2,1,right,1,0.8991221999749541,None,1,2,6,2,13.45961569994688,,,,,,,,,13.449789199978113,13.45961569994688,14.459760700003244,14.459760700003244,14.459760700003244,15.361166999908164,right,1,0.8991221999749541,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,7,3,1,right,1,0.5632421999471262,None,1,3,7,1,15.376122699934058,,,,,,,,,15.364929999923334,15.376122699934058,16.376488099922426,16.376488099922426,16.376488099922426,16.943571100011468,right,1,0.5632421999471262,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,8,0,2,left,1,0.6041424000868574,None,2,0,8,0,16.95984339993447,,,,,,,,,16.94717329996638,16.95984339993447,17.943188400007784,17.943188400007784,17.959642499918118,18.560166199924424,left,1,0.6041424000868574,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,9,1,2,right,1,0.5567626000847667,None,2,1,9,2,18.575936599983834,,,,,,,,,18.564333599992096,18.575936599983834,19.559744099969976,19.559744099969976,19.575879900017753,20.126922099967487,right,1,0.5567626000847667,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,10,2,2,right,1,0.6615604000398889,None,2,2,10,1,20.142969699925743,,,,,,,,,20.130475100013427,20.142969699925743,21.126509799971245,21.126509799971245,21.143135499907658,21.79314759990666,right,1,0.6615604000398889,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,11,3,2,left,1,0.6061619999818504,None,2,3,11,3,21.809890599921346,,,,,,,,,21.797127999947406,21.809890599921346,22.793305599945597,22.793305599945597,22.809431199915707,23.410251099965535,left,1,0.6061619999818504,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,12,0,3,right,1,0.5179487999994308,None,3,0,12,1,23.42628229991533,,,,,,,,,23.413850100012496,23.42628229991533,24.409933799994178,24.409933799994178,24.42623499990441,24.944459299906157,right,1,0.5179487999994308,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,13,1,3,left,1,0.4731683999998495,None,3,1,13,0,24.95969349995721,,,,,,,,,24.949922399944626,24.95969349995721,25.95888469996862,25.95888469996862,25.95888469996862,26.442676099948585,left,1,0.4731683999998495,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,14,2,3,right,0,0.46984739997424185,None,3,2,14,3,26.458707400015555,,,,,,,,,26.446313199936412,26.458707400015555,27.443266000016592,27.443266000016592,27.459427899913862,27.926647100015543,right,0,0.46984739997424185,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,15,3,3,right,1,0.48044439998921007,None,3,3,15,2,27.942628099932335,,,,,,,,,27.931641899980605,27.942628099932335,28.94258029991761,28.94258029991761,28.94258029991761,29.427080099936575,right,1,0.48044439998921007,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,16,0,4,left,0,0.47317110002040863,None,4,0,16,2,29.443106499966234,,,,,,,,,29.427447899943218,29.443106499966234,30.442493599955924,30.442493599955924,30.442493599955924,30.926505899988115,left,0,0.47317110002040863,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,17,1,4,right,1,0.6340379000175744,None,4,1,17,1,30.942356699961238,,,,,,,,,30.931404599919915,30.942356699961238,31.9261048999615,31.9261048999615,31.942800399963744,32.57694579998497,right,1,0.6340379000175744,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,18,2,4,left,1,0.6178318000165746,None,4,2,18,3,32.592829299974255,,,,,,,,,32.58091979997698,32.592829299974255,33.5763151999563,33.5763151999563,33.592942599905655,34.209964699926786,left,1,0.6178318000165746,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,19,3,4,left,1,0.4191488000797108,None,4,3,19,0,34.22619139996823,,,,,,,,,34.21384240000043,34.22619139996823,35.20937329996377,35.20937329996377,35.22577849996742,35.64418089995161,left,1,0.4191488000797108,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,20,0,5,left,1,0.5498049999587238,None,5,0,20,3,35.65918089996558,,,,,,,,,35.64897139999084,35.65918089996558,36.65932119998615,36.65932119998615,36.65932119998615,37.210895799915306,left,1,0.5498049999587238,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,21,1,5,left,1,0.41793420002795756,None,5,1,21,0,37.22542709996924,,,,,,,,,37.21533269993961,37.22542709996924,38.22628049994819,38.22628049994819,38.22628049994819,38.66013390000444,left,1,0.41793420002795756,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,22,2,5,right,1,0.48069949995260686,None,5,2,22,1,38.6760127999587,,,,,,,,,38.66417589993216,38.6760127999587,39.675388499978,39.675388499978,39.675388499978,40.15974959998857,right,1,0.48069949995260686,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,23,3,5,right,1,0.520883799996227,None,5,3,23,2,40.175954599981196,,,,,,,,,40.16414949996397,40.175954599981196,41.175442299922,41.175442299922,41.175442299922,41.70913849992212,right,1,0.520883799996227,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,24,0,6,right,1,0.7571609999286011,None,6,0,24,1,41.725218200008385,,,,,,,,,41.71175759995822,41.725218200008385,42.709309899946675,42.709309899946675,42.72592389991041,43.476757399970666,right,1,0.7571609999286011,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,25,1,6,right,1,0.5861658999929205,None,6,1,25,2,43.492614899994805,,,,,,,,,43.481194799998775,43.492614899994805,44.491804099990986,44.491804099990986,44.491804099990986,45.09366189991124,right,1,0.5861658999929205,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,26,2,6,left,1,0.534301899955608,None,6,2,26,0,45.1087775999913,,,,,,,,,45.09758449997753,45.1087775999913,46.109186799963936,46.109186799963936,46.109186799963936,46.66002369998023,left,1,0.534301899955608,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,27,3,6,left,1,0.6346596999792382,None,6,3,27,3,46.675361300003715,,,,,,,,,46.66440100001637,46.675361300003715,47.65921279997565,47.65921279997565,47.675867500016466,48.31000029994175,left,1,0.6346596999792382,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,28,0,7,right,1,0.7792180000105873,None,7,0,28,2,48.32608609995805,,,,,,,,,48.31406609993428,48.32608609995805,49.30926819995511,49.30926819995511,49.32585319993086,50.09254639991559,right,1,0.7792180000105873,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,29,1,7,right,1,0.7658438000362366,None,7,1,29,1,50.10843629995361,,,,,,,,,50.098734400002286,50.10843629995361,51.09243139997125,51.09243139997125,51.109150799922645,51.86027850001119,right,1,0.7658438000362366,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,30,2,7,left,1,1.2223683999618515,None,7,2,30,3,51.875669899978675,,,,,,,,,51.86446169996634,51.875669899978675,52.875405699945986,52.875405699945986,52.875405699945986,54.109653399907984,left,1,1.2223683999618515,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,31,3,7,left,1,0.4823027999373153,None,7,3,31,0,54.12498899991624,,,,,,,,,54.114455799921416,54.12498899991624,55.10908039996866,55.10908039996866,55.12520869995933,55.592507599969395,left,1,0.4823027999373153,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,32,0,8,left,1,0.5219205999746919,None,8,0,32,3,55.60939250001684,,,,,,,,,55.597010399913415,55.60939250001684,56.591647299937904,56.591647299937904,56.62482639995869,57.126154899946414,left,1,0.5219205999746919,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,33,1,8,right,1,0.9327353000408038,None,8,1,33,2,57.14250319998246,,,,,,,,,57.13113090000115,57.14250319998246,58.14246619993355,58.14246619993355,58.14246619993355,59.07695649995003,right,1,0.9327353000408038,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,34,2,8,right,1,0.7643273000139743,None,8,2,34,1,59.091853599995375,,,,,,,,,59.081005699932575,59.091853599995375,60.09229239996057,60.09229239996057,60.09229239996057,60.85882099997252,right,1,0.7643273000139743,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,35,3,8,left,1,0.5831592000322416,None,8,3,35,0,60.875421099946834,,,,,,,,,60.862215199973434,60.875421099946834,61.859084099996835,61.859084099996835,61.87576299998909,62.44342389993835,left,1,0.5831592000322416,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,36,0,9,right,1,1.1840117999818176,None,9,0,36,2,62.45839309995063,,,,,,,,,62.44764129992109,62.45839309995063,63.44288519991096,63.44288519991096,63.45840090001002,64.64304039999843,right,1,1.1840117999818176,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,37,1,9,left,1,0.5441221999935806,None,9,1,37,0,64.6583417999791,,,,,,,,,64.6484701000154,64.6583417999791,65.6417387999827,65.6417387999827,65.65852589998394,66.19279599993024,left,1,0.5441221999935806,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,38,2,9,left,1,1.0546956999460235,None,9,2,38,3,66.20884999993723,,,,,,,,,66.19668209995143,66.20884999993723,67.20822079991922,67.20822079991922,67.20822079991922,68.27550689992495,left,1,1.0546956999460235,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,39,3,9,right,1,0.7287283000769094,None,9,3,39,1,68.29188899998553,,,,,,,,,68.27950469998177,68.29188899998553,69.27467899990734,69.27467899990734,69.29154479992576,70.00960989994928,right,1,0.7287283000769094,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<><<,right,incongruent,40,0,10,right,1,0.7725102999247611,None,10,0,40,2,70.02576140000019,,,,,,,,,70.01382419990841,70.02576140000019,71.0254187999526,71.0254187999526,71.0254187999526,71.8096407999983,right,1,0.7725102999247611,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>><>>,left,incongruent,41,1,10,left,1,1.0622508999658749,None,10,1,41,3,71.8255053999601,,,,,,,,,71.8149623000063,71.8255053999601,72.82457469997462,72.82457469997462,72.82457469997462,73.89221630000975,left,1,1.0622508999658749,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
>>>>>,right,congruent,42,2,10,right,1,1.1366327999858186,None,10,2,42,1,73.90811530000065,,,,,,,,,73.89500399993267,73.90811530000065,74.89198059996124,74.89198059996124,74.90829459996894,76.0432473999681,right,1,1.1366327999858186,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
<<<<<,left,congruent,43,3,10,left,1,0.6340265999315307,None,10,3,43,0,76.05913289997261,,,,,,,,,76.04785510001238,76.05913289997261,77.05893639998976,77.05893639998976,77.05893639998976,77.7093840999296,left,1,0.6340265999315307,None,,,,participant_1,001,2025-11-10_17h07.14.311,Deeya Flanker,,2025.1.1,60.25036436264449,2025-11-10 17h07.32.875619 +0530,
