pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.37254879996180534,None,0,0,0,0,,,,,0.016575800022110343,,0.010263900039717555,0.016575800022110343,1.0057855998165905,1.0057855998165905,1.0057855998165905,1.0057855998165905,1.020330699859187,2.0041632000356913,2.0041632000356913,2.4043737000320107,x,1,0.37254879996180534,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
150,v,1,1,0,v,1,0.7401262000203133,None,0,1,1,1,,,,,2.411874699871987,,2.404911099933088,2.411874699871987,3.4060309999622405,3.4060309999622405,3.4060309999622405,3.4060309999622405,3.420244799926877,4.4037438000086695,4.4037438000086695,5.154951599892229,v,1,0.7401262000203133,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
50,c,2,2,0,c,1,0.4476851001381874,None,0,2,2,2,,,,,5.17310389992781,,5.155396000016481,5.17310389992781,6.156494699884206,6.156494699884206,6.156494699884206,6.156494699884206,6.170588299864903,7.171036900021136,7.171036900021136,7.6209568998310715,c,1,0.4476851001381874,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
-150,z,3,3,0,z,1,0.4119524001143873,None,0,3,3,3,,,,,7.639953899895772,,7.621567399939522,7.639953899895772,8.622820999938995,8.622820999938995,8.622820999938995,8.622820999938995,8.637564799981192,9.620202200021595,9.620202200021595,10.037652299972251,z,1,0.4119524001143873,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
-50,x,4,0,1,x,1,0.2963086001109332,None,1,0,4,0,,,,,10.056424799840897,,10.038139499956742,10.056424799840897,11.03931919997558,11.03931919997558,11.03931919997558,11.03931919997558,11.054105299990624,12.03684900002554,12.03684900002554,12.337531599914655,x,1,0.2963086001109332,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
150,v,5,1,1,v,1,0.3585610000882298,None,1,1,5,1,,,,,12.356090300017968,,12.338059099856764,12.356090300017968,13.339215100044385,13.339215100044385,13.339215100044385,13.339215100044385,13.353922199923545,14.337289299815893,14.337289299815893,14.704678299836814,v,1,0.3585610000882298,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
50,c,6,2,1,c,1,0.27105950005352497,None,1,2,6,2,,,,,14.7230499999132,,14.705437500029802,14.7230499999132,15.706185499904677,15.706185499904677,15.706185499904677,15.706185499904677,15.720216399990022,16.70422129984945,16.70422129984945,16.988085399847478,c,1,0.27105950005352497,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
-150,z,7,3,1,z,1,0.4440316001418978,None,1,3,7,3,,,,,17.00630489992909,,16.98867359990254,17.00630489992909,17.989493199856952,17.989493199856952,17.989493199856952,17.989493199856952,18.003396899905056,18.986666299868375,18.986666299868375,19.437985399970785,z,1,0.4440316001418978,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
-50,x,8,0,2,x,1,0.32025610003620386,None,2,0,8,0,,,,,19.456204199930653,,19.438746699830517,19.456204199930653,20.439071799861267,20.439071799861267,20.439071799861267,20.439071799861267,20.453358799917623,21.43725259997882,21.43725259997882,21.771504799835384,x,1,0.32025610003620386,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
150,v,9,1,2,v,1,0.5259790001437068,None,2,1,9,1,,,,,21.789162799948826,,21.772250700043514,21.789162799948826,22.77250669989735,22.77250669989735,22.77250669989735,22.77250669989735,22.787329299841076,23.770582699915394,23.770582699915394,24.305223299888894,v,1,0.5259790001437068,None,,,,,participant 3,001,2025-10-03_16h07.21.924,Motor Sequence,,2025.1.1,60.122999631327716,2025-10-03 16h07.30.162852 +0530,
