stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
74,0.5,1.0,84.93008449999616,,84.91484649991617,84.93008449999616,85.41453069983982,85.41453069983982,85.43110789987259,85.71310959989205,85.94699479988776,left,-1.0,1,1,0.5253116998355836,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
75,0.5,1.0,85.9646361998748,,85.94727529981174,85.9646361998748,86.44727209978737,86.44727209978737,86.46375130000524,86.76216259994544,87.1321953998413,right,1.0,1,1,0.6832342999987304,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
76,0.5,1.0,87.14693990000524,,87.13247279985808,87.14693990000524,87.64694589981809,87.64694589981809,87.64694589981809,87.94792989990674,88.39916349994019,right,1.0,1,1,0.7497201000805944,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
77,0.5,1.0,88.41482089995407,,88.39944209996611,88.41482089995407,88.91248529986478,88.91248529986478,88.92886359989643,89.21311709983274,89.49601679993793,right,1.0,0,0,0.5803322999272496,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
78,0.5,1.5,89.51230639987625,,89.4962094000075,89.51230639987625,89.99604869983159,89.99604869983159,90.01256489986554,90.29759859992191,91.0140517000109,left,-1.5,1,1,1.004761900054291,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
79,0.5,1.5,91.02986689982936,,91.01431659981608,91.02986689982936,91.53121679998003,91.53121679998003,91.53121679998003,91.8300193999894,92.4963094999548,left,-1.5,1,1,0.9611113001592457,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
80,0.5,1.5,92.5132446999196,,92.49657119996846,92.5132446999196,92.99714969983324,92.99714969983324,93.0141915997956,93.29741919995286,93.64802829991095,right,1.5,1,1,0.6440123999491334,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
81,0.5,1.0,93.66340909991413,,93.6483140999917,93.66340909991413,94.14662709995173,94.14662709995173,94.16361689986661,94.44701479980722,94.83111279993318,left,-1.0,1,1,0.6812014998868108,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
82,0.5,1.0,94.84657129994594,,94.83135459991172,94.84657129994594,95.33139459998347,95.33139459998347,95.34933579992503,95.64727039984427,95.83174179983325,right,1.0,1,1,0.49337409995496273,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
83,0.5,1.0,95.84801319986582,,95.83204669994302,95.84801319986582,96.33107119984925,96.33107119984925,96.34757009986788,96.63165999995545,96.98204089980572,left,-1.0,1,1,0.6462389000225812,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
84,0.5,1.0,96.99632459995337,,96.98230369994417,96.99632459995337,97.49715529987589,97.49715529987589,97.49715529987589,97.7982937998604,98.21646989998408,left,-1.0,1,1,0.7175762997940183,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
85,0.5,1.0,98.23133410001174,,98.21671179984696,98.23133410001174,98.72977589978836,98.72977589978836,98.72977589978836,99.02946359990165,99.38054469996132,right,1.0,0,0,0.6399944999720901,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
86,0.5,1.5,99.39616160001606,,99.38081109989434,99.39616160001606,99.88150189979933,99.88150189979933,99.89714919985272,100.19632089999504,100.84762249980122,left,-1.5,1,1,0.9525169001426548,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
87,0.5,1.5,100.86287899990566,,100.84797799983062,100.86287899990566,101.36183499987237,101.36183499987237,101.36183499987237,101.66369979991578,102.04707299987786,left,-1.5,1,1,0.6694479000288993,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
88,0.5,1.5,102.0634653000161,,102.04740969999693,102.0634653000161,102.54781989986077,102.54781989986077,102.56496449979022,102.84616769989952,103.11614589998499,right,1.5,1,1,0.5670358999632299,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
89,0.5,1.0,103.12941569997929,,103.11643379996531,103.12941569997929,103.62891959981062,103.62891959981062,103.62891959981062,103.92867059982382,104.0806366999168,left,-1.0,1,1,0.4415937000885606,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
90,0.5,1.0,104.09638009988703,,104.08089479990304,104.09638009988703,104.58025019988418,104.58025019988418,104.59815589990467,104.8790593999438,105.0813561999239,left,-1.0,0,0,0.49223190010525286,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
91,0.5,1.5,105.09623809996992,,105.08173689991236,105.09623809996992,105.58120439993218,105.58120439993218,105.59763909992762,105.89473599987105,106.29706709994934,left,-1.5,1,1,0.7005492001771927,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
92,0.5,1.5,106.31382169993594,,106.29734179982916,106.31382169993594,106.7966637997888,106.7966637997888,106.81342609995045,107.09728619991802,107.59748449991457,left,-1.5,0,0,0.7940104000736028,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
93,0.5,2.0,107.61287730000913,,107.5977430997882,107.61287730000913,108.11171909980476,108.11171909980476,108.11171909980476,108.41424479987472,108.64643199997954,left,-2.0,1,1,0.5263307997956872,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
94,0.5,2.0,108.6632740998175,,108.64666879992001,108.6632740998175,109.14526149979793,109.14526149979793,109.17833909997717,109.44722979981452,109.69773899996653,right,2.0,1,1,0.5488530998118222,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
95,0.5,2.0,109.71315929992124,,109.69799279980361,109.71315929992124,110.21333219995722,110.21333219995722,110.21333219995722,110.51496309996583,110.8974948998075,left,-2.0,1,1,0.6816194001585245,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
96,0.5,1.5,110.91208319994621,,110.8977691999171,110.91208319994621,111.41157879983075,111.41157879983075,111.41157879983075,111.71313990000635,112.22900890000165,right,1.5,1,1,0.8044255999848247,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
97,0.5,1.5,112.24524699989706,,112.22922679991461,112.24524699989706,112.73155919997953,112.73155919997953,112.74642460001633,113.03137289988808,113.26316069997847,left,-1.5,1,1,0.5284947999753058,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
98,0.5,1.5,113.27954709995538,,113.26340419985354,113.27954709995538,113.76402889983729,113.76402889983729,113.78002399997786,114.07957369997166,114.14812719984911,right,1.5,0,0,0.3806165000423789,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
99,0.5,2.0,114.16401889990084,,114.14849890000187,114.16401889990084,114.64846629998647,114.64846629998647,114.66574089997448,114.96376800001599,115.21232269983739,right,2.0,1,1,0.549091000109911,904343,001,2025-09-02_10h25.08.348,adaptive staircase,,2025.1.1,60.36274383812665,2025-09-02 10h25.10.280458 +0530,
