reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
21,44,87,0,0,0,t,2.3974645000125747,None,0,0,0,69,0.30132990001584403,,0.29312620000564493,0.30132990001584403,1.0087243000161834,1.0087243000161834,1.3079912000102922,3.556877399998484,t,2.3974645000125747,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
95,99,33,1,1,0,t,1.9761111999978311,None,0,1,1,13,3.5666299000149593,,3.5631572999991477,3.5666299000149593,4.569780699996045,4.569780699996045,4.569780699996045,6.5538686999934725,t,1.9761111999978311,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
35,83,88,2,2,0,t,1.255766299989773,None,0,2,2,16,6.569917100016028,,6.559833900013473,6.569917100016028,7.553271200013114,7.553271200013114,7.569904900010442,8.820460499991896,t,1.255766299989773,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
76,96,132,3,3,0,t,1.3953522999945562,None,0,3,3,27,8.836201600002823,,8.829053299996303,8.836201600002823,9.820195100008277,9.820195100008277,9.836719999992056,11.220877699990524,t,1.3953522999945562,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
97,100,27,4,4,0,t,2.2180324999790173,None,0,4,4,17,11.23654000001261,,11.230519600008847,11.23654000001261,12.235912800009828,12.235912800009828,12.235912800009828,14.470254100015154,t,2.2180324999790173,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
51,96,150,5,5,0,t,1.452140600013081,None,0,5,5,34,14.486258699995233,,14.477042699989397,14.486258699995233,15.470047600014368,15.470047600014368,15.486349999991944,16.936880599998403,t,1.452140600013081,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
43,76,83,6,6,0,t,2.12122649999219,None,0,6,6,67,16.952926199999638,,16.943219400011003,16.952926199999638,17.936323100002483,17.936323100002483,17.953110700007528,20.070328600006178,t,2.12122649999219,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
62,75,3,7,7,0,l,1.5550798999902327,None,0,7,7,75,20.08612130000256,,20.077029600011883,20.08612130000256,21.069575300003635,21.069575300003635,21.086215699993772,22.636577700002817,l,1.5550798999902327,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
7,17,59,8,8,0,t,1.0373053000075743,None,0,8,8,92,22.653164599993033,,22.64303989999462,22.653164599993033,23.636186799994903,23.636186799994903,23.652976599987596,24.68716659999336,t,1.0373053000075743,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
24,73,77,9,9,0,t,3.2511649999942165,None,0,9,9,81,24.703047099988908,,24.693125399993733,24.703047099988908,25.7026668000035,25.7026668000035,25.7026668000035,28.96992110001156,t,3.2511649999942165,None,participant_1,001,2025-11-03_13h26.05.631,Deeya Delay Discounting,,2025.1.1,59.730805208610235,2025-11-03 13h27.05.511773 +0530,
