flanker,correctAns,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,intro.started,space.started,Instructions.stopped,space.keys,space.rt,space.duration,trial.started,fixation.started,Flankerstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,thanks.started,thanks.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.002500800066627562,0.007800200022757053,0.007800200022757053,10.684144300059415,space,10.550935999955982,None,,,,,,,,,,,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
<<><<,right,incongruent,0,0,0,right,1,1.2644003999885172,None,0,0,0,2,10.69963240006473,,,,,,,,,10.69562200002838,10.69963240006473,11.687321800040081,11.687321800040081,11.703933199984021,12.954370400053449,right,1,1.2644003999885172,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
<<<<<,left,congruent,1,1,0,left,1,0.7739014000399038,None,0,1,1,0,12.970361300045624,,,,,,,,,12.956885099993087,12.970361300045624,13.953933499986306,13.953933499986306,13.971404799958691,14.73842439998407,left,1,0.7739014000399038,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
>>>>>,right,congruent,2,2,0,right,1,0.6717556000221521,None,0,2,2,1,14.754369199974462,,,,,,,,,14.742135800071992,14.754369199974462,15.737862800015137,15.737862800015137,15.754393300041556,16.421211900073104,right,1,0.6717556000221521,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
>><>>,left,incongruent,3,3,0,right,0,0.4618762000463903,None,0,3,3,3,16.437267799978144,,,,,,,,,16.425122700049542,16.437267799978144,17.420233000069857,17.420233000069857,17.43729929998517,17.888237499981187,right,0,0.4618762000463903,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
>><>>,left,incongruent,4,0,1,left,1,0.594403599970974,None,1,0,4,3,17.904607800068334,,,,,,,,,17.888732000021264,17.904607800068334,18.887478700024076,18.887478700024076,18.904188700020313,19.487642899970524,left,1,0.594403599970974,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
>>>>>,right,congruent,5,1,1,right,1,0.5079931999789551,None,1,1,5,1,19.50382880005054,,,,,,,,,19.49057919997722,19.50382880005054,20.487746400060132,20.487746400060132,20.503843800048344,21.00473929999862,right,1,0.5079931999789551,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
<<><<,right,incongruent,6,2,1,right,1,4.024401300004683,None,1,2,6,2,21.020951500046067,,,,,,,,,21.008967800065875,21.020951500046067,22.003768900060095,22.003768900060095,22.02052340004593,26.038654800038785,right,1,4.024401300004683,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
<<<<<,left,congruent,7,3,1,left,1,0.9297617999836802,None,1,3,7,0,26.05417410004884,,,,,,,,,26.04353580006864,26.05417410004884,27.053584199980833,27.053584199980833,27.053584199980833,27.98782270005904,left,1,0.9297617999836802,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
<<><<,right,incongruent,8,0,2,right,1,0.5571474999887869,None,2,0,8,2,28.003971299971454,,,,,,,,,27.99246310000308,28.003971299971454,28.98780770006124,28.98780770006124,29.004329000017606,29.555417999974452,right,1,0.5571474999887869,None,,,,,participant_4,001,2025-11-11_11h14.18.412,Deeya Flanker,,2025.1.1,60.22416640243083,2025-11-11 11h14.33.512550 +0530,
