thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.1761111111111111)],[np.float64(0.3055555555555556)],[1],[0],[0],[1.0798414000310004],['target'],0,0,0,0,0.03132850001566112,,5,0.0189026000443846,0.03132850001566112,0.03132850001566112,0.018921900074929,1.0988799000624567,[np.float64(-0.1761111111111111)],[np.float64(0.3055555555555556)],[1],[0],[0],[1.0798414000310004],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
1,0,1,[np.float64(-0.20666666666666667)],[np.float64(-0.06833333333333333)],[1],[0],[0],[0.9177972001489252],[None],1,0,1,0,1.1378047000616789,,10,1.1263345000334084,1.1378047000616789,1.1378047000616789,0.027210500091314316,2.0442818000447005,[np.float64(-0.20666666666666667)],[np.float64(-0.06833333333333333)],[1],[0],[0],[0.9177972001489252],[None],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
2,0,2,[np.float64(-0.09388888888888888)],[np.float64(-0.28555555555555556)],[1],[0],[0],[1.4859545000363141],['target'],2,0,2,0,2.0829429000150412,,10,2.072437300113961,2.0829429000150412,2.0829429000150412,0.027888000011444092,3.5585010000504553,[np.float64(-0.09388888888888888)],[np.float64(-0.28555555555555556)],[1],[0],[0],[1.4859545000363141],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
3,0,3,[np.float64(-0.36833333333333335)],[np.float64(-0.2061111111111111)],[1],[0],[0],[1.035230299923569],['target'],3,0,3,0,3.5811984001193196,,5,3.574324599932879,3.5811984001193196,3.5811984001193196,0.015604200074449182,4.609645100077614,[np.float64(-0.36833333333333335)],[np.float64(-0.2061111111111111)],[1],[0],[0],[1.035230299923569],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
4,0,4,[np.float64(0.21222222222222223)],[np.float64(0.17222222222222222)],[1],[0],[0],[1.336176399840042],['target'],4,0,4,0,4.649314600042999,,10,4.63936259993352,4.649314600042999,4.649314600042999,0.029554200125858188,5.975626399973407,[np.float64(0.21222222222222223)],[np.float64(0.17222222222222222)],[1],[0],[0],[1.336176399840042],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
5,0,5,[np.float64(-0.4638888888888889)],[np.float64(0.2822222222222222)],[1],[0],[0],[1.2942491001449525],['target'],5,0,5,0,6.007410200079903,,10,6.000045900000259,6.007410200079903,6.007410200079903,0.024231899995356798,7.294506900012493,[np.float64(-0.4638888888888889)],[np.float64(0.2822222222222222)],[1],[0],[0],[1.2942491001449525],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
6,0,6,[np.float64(0.48777777777777775)],[np.float64(0.355)],[1],[0],[0],[2.2036201001610607],['target'],6,0,6,0,7.328449000138789,,10,7.3208693999331445,7.328449000138789,7.328449000138789,0.026036200113594532,9.52457100013271,[np.float64(0.48777777777777775)],[np.float64(0.355)],[1],[0],[0],[2.2036201001610607],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
7,0,7,[np.float64(0.37)],[np.float64(0.24833333333333332)],[1],[0],[0],[1.828969200141728],['target'],7,0,7,0,9.555991200031713,,10,9.545820400118828,9.555991200031713,9.555991200031713,0.021145200124010444,11.374902700074017,[np.float64(0.37)],[np.float64(0.24833333333333332)],[1],[0],[0],[1.828969200141728],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
8,0,8,[np.float64(-0.23277777777777778)],[np.float64(0.2111111111111111)],[1],[0],[0],[1.5865554998163134],['target'],8,0,8,0,11.396686899941415,,5,11.389606700045988,11.396686899941415,11.396686899941415,0.01448539993725717,12.976261799922213,[np.float64(-0.23277777777777778)],[np.float64(0.2111111111111111)],[1],[0],[0],[1.5865554998163134],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
9,0,9,[np.float64(-0.12611111111111112)],[np.float64(0.18333333333333332)],[1],[0],[0],[1.6320821000263095],['target'],9,0,9,0,12.998348700115457,,5,12.991452699992806,12.998348700115457,12.998348700115457,0.01501729991286993,14.623587399953976,[np.float64(-0.12611111111111112)],[np.float64(0.18333333333333332)],[1],[0],[0],[1.6320821000263095],['target'],participant 2,001,2025-09-29_14h51.08.476,Visual Search,,2025.1.1,59.981094010724014,2025-09-29 14h52.53.432264 +0530,
