pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.4251810999121517,None,0,0,0,0,,,,,0.025482800090685487,,0.007999100023880601,0.025482800090685487,0.9993551000952721,0.9993551000952721,0.9993551000952721,0.9993551000952721,1.0300249001011252,2.01399810006842,2.01399810006842,2.4545585000887513,x,1,0.4251810999121517,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
150,v,1,1,0,v,1,0.9860302000306547,None,0,1,1,1,,,,,2.465928800171241,,2.4549784001428634,2.465928800171241,3.4636735001113266,3.4636735001113266,3.4636735001113266,3.4636735001113266,3.4636735001113266,4.463975599966943,4.463975599966943,5.464299899991602,v,1,0.9860302000306547,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
50,c,2,2,0,c,1,0.5505689999554306,None,0,2,2,2,,,,,5.4828684001695365,,5.464874100172892,5.4828684001695365,6.466420700075105,6.466420700075105,6.466420700075105,6.466420700075105,6.480460199993104,7.463355800136924,7.463355800136924,8.014642900088802,c,1,0.5505689999554306,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
-150,z,3,3,0,z,1,0.37307669990696013,None,0,3,3,3,,,,,8.032361200079322,,8.015106300124899,8.032361200079322,9.015920600155368,9.015920600155368,9.015920600155368,9.015920600155368,9.030622200109065,10.0305296999868,10.0305296999868,10.41385590005666,z,1,0.37307669990696013,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
-50,x,4,0,1,x,1,0.42791239987127483,None,1,0,4,0,,,,,10.432237399974838,,10.414294600021094,10.432237399974838,11.415829699952155,11.415829699952155,11.415829699952155,11.415829699952155,11.429724700050429,12.413671500049531,12.413671500049531,12.84691910003312,x,1,0.42791239987127483,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
150,v,5,1,1,v,1,0.2808793999720365,None,1,1,5,1,,,,,12.865593699971214,,12.8474260000512,12.865593699971214,13.849511099979281,13.849511099979281,13.849511099979281,13.849511099979281,13.863796400139108,14.846966800047085,14.846966800047085,15.130499199964106,v,1,0.2808793999720365,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
50,c,6,2,1,c,1,0.3789220000617206,None,1,2,6,2,,,,,15.14925210014917,,15.1310705000069,15.14925210014917,16.13216509995982,16.13216509995982,16.13216509995982,16.13216509995982,16.146405700128525,17.130411999998614,17.130411999998614,17.514026100048795,c,1,0.3789220000617206,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
-150,z,7,3,1,z,1,0.24964910000562668,None,1,3,7,3,,,,,17.532075500115752,,17.51459340006113,17.532075500115752,18.51579530001618,18.51579530001618,18.51579530001618,18.51579530001618,18.52998200012371,19.513193299993873,19.513193299993873,19.76438009995036,z,1,0.24964910000562668,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
-50,x,8,0,2,x,1,0.33247330016456544,None,2,0,8,0,,,,,19.78253750014119,,19.765237800078467,19.78253750014119,20.76645140000619,20.76645140000619,20.76645140000619,20.76645140000619,20.780781300039962,21.779791200067848,21.779791200067848,22.11462130001746,x,1,0.33247330016456544,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
150,v,9,1,2,v,1,0.35232469998300076,None,2,1,9,1,,,,,22.132356100017205,,22.115133800078183,22.132356100017205,23.116183900041506,23.116183900041506,23.116183900041506,23.116183900041506,23.12965720007196,24.129565099952742,24.129565099952742,24.497932099970058,v,1,0.35232469998300076,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
50,c,10,2,2,c,1,0.3093213001266122,None,2,2,10,2,,,,,24.515600900165737,,24.498505500145257,24.515600900165737,25.499184099957347,25.499184099957347,25.499184099957347,25.499184099957347,25.51350070000626,26.51359620015137,26.51359620015137,26.8307162001729,c,1,0.3093213001266122,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
-150,z,11,3,2,z,1,0.49494219990447164,None,2,3,11,3,,,,,26.848790500080213,,26.831149199977517,26.848790500080213,27.832110200077295,27.832110200077295,27.832110200077295,27.832110200077295,27.846867199987173,28.829735500039533,28.829735500039533,29.330213699955493,z,1,0.49494219990447164,None,,,,,participant 4,001,2025-10-03_16h16.32.058,Motor Sequence,,2025.1.1,59.93971266639548,2025-10-03 16h16.43.169957 +0530,
