thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.056666666666666664)],[np.float64(0.04888888888888889)],[1],[0],[0],[1.3418141999281943],['target'],0,0,0,0,0.04226369992829859,,5,0.029480499913915992,0.04226369992829859,0.04226369992829859,0.029502599965780973,1.371452100109309,[np.float64(0.056666666666666664)],[np.float64(0.04888888888888889)],[1],[0],[0],[1.3418141999281943],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
1,0,1,[np.float64(-0.27111111111111114)],[np.float64(-0.4738888888888889)],[1],[0],[0],[2.5440905999857932],['target'],1,0,1,0,1.419105299981311,,10,1.4034370000008494,1.419105299981311,1.419105299981311,0.03169329999946058,3.9476590000558645,[np.float64(-0.27111111111111114)],[np.float64(-0.4738888888888889)],[1],[0],[0],[2.5440905999857932],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
2,0,2,[np.float64(-0.125)],[np.float64(0.06833333333333333)],[1],[0],[0],[1.4535644000861794],['target'],2,0,2,0,3.983308699913323,,10,3.976033000042662,3.983308699913323,3.983308699913323,0.028072299901396036,5.429676899919286,[np.float64(-0.125)],[np.float64(0.06833333333333333)],[1],[0],[0],[1.4535644000861794],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
3,0,3,[np.float64(-0.4761111111111111)],[np.float64(-0.19111111111111112)],[1],[0],[0],[1.4291262000333518],['target'],3,0,3,0,5.457646100083366,,10,5.450724099995568,5.457646100083366,5.457646100083366,0.020877599949017167,6.879952900111675,[np.float64(-0.4761111111111111)],[np.float64(-0.19111111111111112)],[1],[0],[0],[1.4291262000333518],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
4,0,4,[np.float64(0.23333333333333334)],[np.float64(0.3038888888888889)],[1],[0],[0],[1.7526861000806093],['target'],4,0,4,0,6.902273599989712,,5,6.895561299985275,6.902273599989712,6.902273599989712,0.015404700068756938,8.64837560011074,[np.float64(0.23333333333333334)],[np.float64(0.3038888888888889)],[1],[0],[0],[1.7526861000806093],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
5,0,5,[np.float64(-0.4388888888888889)],[np.float64(-0.21166666666666667)],[1],[0],[0],[1.2467425998765975],['target'],5,0,5,0,8.674648199928924,,5,8.668075799942017,8.674648199928924,8.674648199928924,0.019467599922791123,9.915005200076848,[np.float64(-0.4388888888888889)],[np.float64(-0.21166666666666667)],[1],[0],[0],[1.2467425998765975],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
6,0,6,[np.float64(-0.13111111111111112)],[np.float64(-0.2966666666666667)],[1],[0],[0],[1.780269999988377],['target'],6,0,6,0,9.95737829990685,,10,9.948994900099933,9.95737829990685,9.95737829990685,0.03369190008379519,11.729386799968779,[np.float64(-0.13111111111111112)],[np.float64(-0.2966666666666667)],[1],[0],[0],[1.780269999988377],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
7,0,7,[np.float64(0.1388888888888889)],[np.float64(-0.4538888888888889)],[1],[0],[0],[1.615270699840039],['target'],7,0,7,0,11.754976300057024,,5,11.747241399949417,11.754976300057024,11.754976300057024,0.017637999961152673,13.362583399983123,[np.float64(0.1388888888888889)],[np.float64(-0.4538888888888889)],[1],[0],[0],[1.615270699840039],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
8,0,8,[np.float64(0.09166666666666666)],[np.float64(0.31)],[1],[0],[0],[1.49899600003846],['target'],8,0,8,0,13.389189000008628,,10,13.381471199914813,13.389189000008628,13.389189000008628,0.018764300039038062,14.880579400109127,[np.float64(0.09166666666666666)],[np.float64(0.31)],[1],[0],[0],[1.49899600003846],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
9,0,9,[np.float64(-0.3672222222222222)],[np.float64(-0.33444444444444443)],[1],[0],[0],[2.139934499980882],['target'],9,0,9,0,14.916781600099057,,10,14.907062100013718,14.916781600099057,14.916781600099057,0.026248600101098418,17.047100400086492,[np.float64(-0.3672222222222222)],[np.float64(-0.33444444444444443)],[1],[0],[0],[2.139934499980882],['target'],participant 1,001,2025-09-29_13h31.30.596,Visual Search,,2025.1.1,60.02800901673124,2025-09-29 13h31.49.240520 +0530,
