flanker,correctAns,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,intro.started,space.started,Instructions.stopped,space.keys,space.rt,space.duration,trial.started,fixation.started,Flankerstim.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_You.started,thanks.started,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0024214000441133976,0.00890129990875721,0.00890129990875721,1.214008599985391,space,0.9199328999966383,None,,,,,,,,,,,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
>>>>>,right,congruent,0,0,0,right,1,1.0181452999822795,None,0,0,0,1,1.2916461999993771,,,,,,,,,1.2869979999959469,1.2916461999993771,2.219784799963236,2.219784799963236,2.3030375000089407,3.252894700039178,right,1,1.0181452999822795,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
<<><<,right,incongruent,1,1,0,right,1,1.8557935000862926,None,0,1,1,2,3.2688124000560492,,,,,,,,,3.2560010000597686,3.2688124000560492,4.252296899911016,4.252296899911016,4.269020299892873,6.119975900044665,right,1,1.8557935000862926,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
<<<<<,left,congruent,2,2,0,left,1,0.6000185001175851,None,0,2,2,0,6.136076899943873,,,,,,,,,6.123240699991584,6.136076899943873,7.135467600077391,7.135467600077391,7.135467600077391,7.737202199874446,left,1,0.6000185001175851,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
>><>>,left,incongruent,3,3,0,left,1,1.3662592000328004,None,0,3,3,3,7.7521569998934865,,,,,,,,,7.741375099867582,7.7521569998934865,8.752106699859723,8.752106699859723,8.752106699859723,10.120049600023776,left,1,1.3662592000328004,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
<<><<,right,incongruent,4,0,1,right,1,1.2548845999408513,None,1,0,4,2,10.135955800069496,,,,,,,,,10.123687600018457,10.135955800069496,11.135567599907517,11.135567599907517,11.135567599907517,12.403696999885142,right,1,1.2548845999408513,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
>>>>>,right,congruent,5,1,1,right,1,0.64397899992764,None,1,1,5,1,12.419442499987781,,,,,,,,,12.40789179992862,12.419442499987781,13.419232500018552,13.419232500018552,13.419232500018552,14.069937899941579,right,1,0.64397899992764,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
<<<<<,left,congruent,6,2,1,left,1,0.7230022000148892,None,1,2,6,0,14.085796999977902,,,,,,,,,14.075321499956772,14.085796999977902,15.069686600007117,15.069686600007117,15.08625920000486,15.803196700057015,left,1,0.7230022000148892,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
>><>>,left,incongruent,7,3,1,left,1,0.8872217000462115,None,1,3,7,3,15.819344699848443,,,,,,,,,15.80676499987021,15.819344699848443,16.801966900005937,16.801966900005937,16.819275999907404,17.7030994000379,left,1,0.8872217000462115,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
<<<<<,left,congruent,8,0,2,left,1,0.6988616997841746,None,2,0,8,0,17.71863629994914,,,,,,,,,17.708427199861035,17.71863629994914,18.702481399988756,18.702481399988756,18.718658699886873,19.403455500025302,left,1,0.6988616997841746,None,,,,participant_6,001,2025-11-17_16h16.36.527,Deeya Flanker,,2025.1.1,59.98192146483342,2025-11-17 16h16.53.437775 +0530,
