pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.7058689999394119,None,0,0,0,0,,,,,0.01386960013769567,,0.008415499934926629,0.01386960013769567,1.0054934001527727,1.0054934001527727,1.0054934001527727,1.0054934001527727,1.0198059999383986,2.003322800155729,2.003322800155729,2.7241484001278877,x,1,0.7058689999394119,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
150,v,1,1,0,v,1,0.7273107999935746,None,0,1,1,1,,,,,2.738174800062552,,2.7245048999320716,2.738174800062552,3.7365522999316454,3.7365522999316454,3.7365522999316454,3.7365522999316454,3.7365522999316454,4.736052599968389,4.736052599968389,5.470445099985227,v,1,0.7273107999935746,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
50,c,2,2,0,c,1,0.38246170012280345,None,0,2,2,2,,,,,5.488648599945009,,5.470930899959058,5.488648599945009,6.472143300110474,6.472143300110474,6.472143300110474,6.472143300110474,6.486361199989915,7.469553200062364,7.469553200062364,7.853995700133964,c,1,0.38246170012280345,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
-150,z,3,3,0,z,1,0.9566473001614213,None,0,3,3,3,,,,,7.872155999997631,,7.854614800075069,7.872155999997631,8.855077200103551,8.855077200103551,8.855077200103551,8.855077200103551,8.869301600148901,9.869579199934378,9.869579199934378,10.836453099967912,z,1,0.9566473001614213,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
-50,x,4,0,1,x,1,1.133066900074482,None,1,0,4,0,,,,,10.855484199943021,,10.836924300063401,10.855484199943021,11.838738800026476,11.838738800026476,11.838738800026476,11.838738800026476,11.853086699964479,12.83619279996492,12.83619279996492,13.970108600100502,x,1,1.133066900074482,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
150,v,5,1,1,v,1,0.5706468001008034,None,1,1,5,1,,,,,13.988734000129625,,13.970690000103787,13.988734000129625,14.971677799941972,14.971677799941972,14.971677799941972,14.971677799941972,14.98626510007307,15.985504100099206,15.985504100099206,16.570180699927732,v,1,0.5706468001008034,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
50,c,6,2,1,c,1,0.32068099989555776,None,1,2,6,2,,,,,16.588100099936128,,16.570721100084484,16.588100099936128,17.572007999988273,17.572007999988273,17.572007999988273,17.572007999988273,17.586567600024864,18.56918750004843,18.56918750004843,18.903509800089523,c,1,0.32068099989555776,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
-150,z,7,3,1,z,1,0.5015443998854607,None,1,3,7,3,,,,,18.92183000012301,,18.90429909992963,18.92183000012301,19.90503849997185,19.90503849997185,19.90503849997185,19.90503849997185,19.919618400046602,20.902341899927706,20.902341899927706,21.419874500017613,z,1,0.5015443998854607,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
-50,x,8,0,2,x,1,0.7344899999443442,None,2,0,8,0,,,,,21.438512300141156,,21.420415400061756,21.438512300141156,22.421624700073153,22.421624700073153,22.421624700073153,22.421624700073153,22.4362162000034,23.419383000116795,23.419383000116795,24.169748699991032,x,1,0.7344899999443442,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
150,v,9,1,2,v,1,0.654280599905178,None,2,1,9,1,,,,,24.18860820005648,,24.170496999984607,24.18860820005648,25.171461699996144,25.171461699996144,25.171461699996144,25.171461699996144,25.18611240014434,26.169087199959904,26.169087199959904,26.836681799963117,v,1,0.654280599905178,None,,,,,participant 5,001,2025-10-03_16h27.10.982,Motor Sequence,,2025.1.1,60.1795879346554,2025-10-03 16h27.30.683712 +0530,
