reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,91,96,0,0,0,t,7.950637700007064,None,0,0,0,91,0.12940899998648092,,0.12422619998687878,0.12940899998648092,1.0096872999856714,1.0096872999856714,1.1436064000008628,8.984496199991554,t,7.950637700007064,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
78,89,168,1,1,0,t,2.2627717000141274,None,0,1,1,99,8.996562099986477,,8.993491100001847,8.996562099986477,9.993076899991138,9.993076899991138,10.009617899981095,12.260149999987334,t,2.2627717000141274,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
17,73,92,2,2,0,l,2.4854418999748304,None,0,2,2,33,12.275985299987951,,12.267527699994389,12.275985299987951,13.260317599982955,13.260317599982955,13.276877999975113,15.760727599990787,l,2.4854418999748304,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
50,55,8,3,3,0,t,1.97115890000714,None,0,3,3,87,15.776038899988635,,15.770985599985579,15.776038899988635,16.759538699989207,16.759538699989207,16.776276899996446,18.743960899999365,t,1.97115890000714,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
64,75,105,4,4,0,t,1.7402678999933414,None,0,4,4,53,18.759951199986972,,18.75034249998862,18.759951199986972,19.743607899989,19.743607899989,19.76025939997635,21.49316829998861,t,1.7402678999933414,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
39,84,104,5,5,0,t,1.6561046999995597,None,0,5,5,57,21.5093394999858,,21.499186599976383,21.5093394999858,22.492550499999197,22.492550499999197,22.509467099996982,24.160207899985835,t,1.6561046999995597,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
48,99,178,6,6,0,l,2.458398799994029,None,0,6,6,64,24.176705899997614,,24.16685549999238,24.176705899997614,25.15968260000227,25.15968260000227,25.176668000000063,27.62704969997867,l,2.458398799994029,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
75,100,37,7,7,0,l,1.8171849999926053,None,0,7,7,66,27.642725899990182,,27.63351239997428,27.642725899990182,28.626563400001032,28.626563400001032,28.64274049998494,30.460531199991237,l,1.8171849999926053,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
61,64,18,8,8,0,t,1.772595899994485,None,0,8,8,4,30.476491999987047,,30.467695699975593,30.476491999987047,31.47595709998859,31.47595709998859,31.47595709998859,33.26022619998548,t,1.772595899994485,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
45,49,38,9,9,0,t,1.5331193000019994,None,0,9,9,39,33.276379799994174,,33.26670579999336,33.276379799994174,34.27590899998904,34.27590899998904,34.27590899998904,35.81058199997642,t,1.5331193000019994,None,participant_2,001,2025-11-03_16h43.02.577,Deeya Delay Discounting,,2025.1.1,59.96523216241629,2025-11-03 16h43.12.495598 +0530,
