thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.10277777777777777)],[np.float64(0.14)],[1],[0],[0],[1.1261750000994653],['target'],0,0,0,0,0.03439600020647049,,10,0.023751200176775455,0.03439600020647049,0.03439600020647049,0.023779100039973855,1.1500277000013739,[np.float64(0.10277777777777777)],[np.float64(0.14)],[1],[0],[0],[1.1261750000994653],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
1,0,1,[np.float64(0.2477777777777778)],[np.float64(-0.47944444444444445)],[1],[0],[0],[1.3899882000405341],['target'],1,0,1,0,1.187553800176829,,10,1.1752748000435531,1.187553800176829,1.187553800176829,0.025020400062203407,2.5653692001942545,[np.float64(0.2477777777777778)],[np.float64(-0.47944444444444445)],[1],[0],[0],[1.3899882000405341],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
2,0,2,[np.float64(0.2361111111111111)],[np.float64(0.11222222222222222)],[1],[0],[0],[1.3688407998997718],['target'],2,0,2,0,2.587698500137776,,5,2.580106400186196,2.587698500137776,2.587698500137776,0.014520600205287337,3.9490062000695616,[np.float64(0.2361111111111111)],[np.float64(0.11222222222222222)],[1],[0],[0],[1.3688407998997718],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
3,0,3,[np.float64(-0.3616666666666667)],[np.float64(-0.026111111111111113)],[1],[0],[0],[1.4868957998696715],['target'],3,0,3,0,3.967781900195405,,5,3.9624312000814825,3.967781900195405,3.967781900195405,0.013330399990081787,5.449443300021812,[np.float64(-0.3616666666666667)],[np.float64(-0.026111111111111113)],[1],[0],[0],[1.4868957998696715],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
4,0,4,[np.float64(0.12833333333333333)],[np.float64(0.5)],[1],[0],[0],[1.3840554000344127],['target'],4,0,4,0,5.471605500206351,,5,5.464967100182548,5.471605500206351,5.471605500206351,0.01532440003938973,6.849126500077546,[np.float64(0.12833333333333333)],[np.float64(0.5)],[1],[0],[0],[1.3840554000344127],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
5,0,5,[np.float64(-0.3283333333333333)],[np.float64(0.2772222222222222)],[1],[0],[0],[1.3379665999673307],['target'],5,0,5,0,6.86488140001893,,5,6.859828600194305,6.86488140001893,6.86488140001893,0.010506900027394295,8.197901900159195,[np.float64(-0.3283333333333333)],[np.float64(0.2772222222222222)],[1],[0],[0],[1.3379665999673307],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
6,0,6,[np.float64(0.3244444444444444)],[np.float64(0.3977777777777778)],[1],[0],[0],[1.2518978998996317],['target'],6,0,6,0,8.219958200119436,,5,8.213514900067821,8.219958200119436,8.219958200119436,0.015436500078067183,9.465525000123307,[np.float64(0.3244444444444444)],[np.float64(0.3977777777777778)],[1],[0],[0],[1.2518978998996317],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
7,0,7,[np.float64(0.3972222222222222)],[np.float64(-0.1661111111111111)],[1],[0],[0],[1.2831622001249343],['target'],7,0,7,0,9.487301900051534,,5,9.481590999988839,9.487301900051534,9.487301900051534,0.01587199978530407,10.76482280017808,[np.float64(0.3972222222222222)],[np.float64(-0.1661111111111111)],[1],[0],[0],[1.2831622001249343],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
8,0,8,[np.float64(0.059444444444444446)],[np.float64(-0.03277777777777778)],[1],[0],[0],[1.225036600138992],['target'],8,0,8,0,10.797022100072354,,10,10.790099800098687,10.797022100072354,10.797022100072354,0.02513399999588728,12.015245500020683,[np.float64(0.059444444444444446)],[np.float64(-0.03277777777777778)],[1],[0],[0],[1.225036600138992],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
9,0,9,[np.float64(-0.41833333333333333)],[np.float64(-0.06277777777777778)],[1],[0],[0],[1.372680100146681],['target'],9,0,9,0,12.052093300037086,,10,12.044991000089794,12.052093300037086,12.052093300037086,0.02953849988989532,13.417866000207141,[np.float64(-0.41833333333333333)],[np.float64(-0.06277777777777778)],[1],[0],[0],[1.372680100146681],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
10,0,10,[np.float64(0.135)],[np.float64(-0.21055555555555555)],[1],[0],[0],[1.1309750999789685],['target'],10,0,10,0,13.440402900101617,,5,13.434839500114322,13.440402900101617,13.440402900101617,0.016625700052827597,14.565919200191274,[np.float64(0.135)],[np.float64(-0.21055555555555555)],[1],[0],[0],[1.1309750999789685],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
11,0,11,[np.float64(0.18)],[np.float64(0.26666666666666666)],[1],[0],[0],[0.9213346000760794],['target'],11,0,11,0,14.602397800190374,,10,14.594390399986878,14.602397800190374,14.602397800190374,0.028275500051677227,15.51584090013057,[np.float64(0.18)],[np.float64(0.26666666666666666)],[1],[0],[0],[0.9213346000760794],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
12,0,12,[np.float64(0.14666666666666667)],[np.float64(-0.35)],[1],[0],[0],[1.4011238000821322],['target'],12,0,12,0,15.538984399987385,,5,15.53162720007822,15.538984399987385,15.538984399987385,0.015530599979683757,16.932857100153342,[np.float64(0.14666666666666667)],[np.float64(-0.35)],[1],[0],[0],[1.4011238000821322],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
13,0,13,[np.float64(-0.0961111111111111)],[np.float64(0.45611111111111113)],[1],[0],[0],[1.4824261001776904],['target'],13,0,13,0,16.95713540003635,,5,16.950045800069347,16.95713540003635,16.95713540003635,0.017048300011083484,18.432637100107968,[np.float64(-0.0961111111111111)],[np.float64(0.45611111111111113)],[1],[0],[0],[1.4824261001776904],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
14,0,14,[np.float64(-0.3327777777777778)],[np.float64(-0.27944444444444444)],[1],[0],[0],[1.2058335999026895],['target'],14,0,14,0,18.46650440013036,,10,18.459557600086555,18.46650440013036,18.46650440013036,0.02660800004377961,19.66552949999459,[np.float64(-0.3327777777777778)],[np.float64(-0.27944444444444444)],[1],[0],[0],[1.2058335999026895],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
15,0,15,[np.float64(0.41388888888888886)],[np.float64(-0.2861111111111111)],[1],[0],[0],[1.4165262999013066],['target'],15,0,15,0,19.688818500144407,,5,19.68193790013902,19.688818500144407,19.688818500144407,0.016148400027304888,21.09856710000895,[np.float64(0.41388888888888886)],[np.float64(-0.2861111111111111)],[1],[0],[0],[1.4165262999013066],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
16,0,16,[np.float64(0.1527777777777778)],[np.float64(-0.135)],[1],[0],[0],[1.4667388000525534],['target'],16,0,16,0,21.120928100077435,,5,21.114197100047022,21.120928100077435,21.120928100077435,0.015447100158780813,22.581002100137994,[np.float64(0.1527777777777778)],[np.float64(-0.135)],[1],[0],[0],[1.4667388000525534],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
17,0,17,[np.float64(0.05333333333333334)],[np.float64(-0.355)],[1],[0],[0],[1.093792200088501],['target'],17,0,17,0,22.613472600001842,,10,22.604441200150177,22.613472600001842,22.613472600001842,0.023312699981033802,23.698330600047484,[np.float64(0.05333333333333334)],[np.float64(-0.355)],[1],[0],[0],[1.093792200088501],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
18,0,18,[np.float64(0.435)],[np.float64(0.4727777777777778)],[1],[0],[0],[1.4976959999185055],['target'],18,0,18,0,23.725897900061682,,10,23.71873420011252,23.725897900061682,23.725897900061682,0.020184800028800964,25.21661220001988,[np.float64(0.435)],[np.float64(0.4727777777777778)],[1],[0],[0],[1.4976959999185055],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
19,0,19,[np.float64(0.45611111111111113)],[np.float64(-0.20166666666666666)],[1],[0],[0],[1.78683239989914],['target'],19,0,19,0,25.25665230001323,,10,25.247241800185293,25.25665230001323,25.25665230001323,0.03027360001578927,27.03423300012946,[np.float64(0.45611111111111113)],[np.float64(-0.20166666666666666)],[1],[0],[0],[1.78683239989914],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
20,0,20,[np.float64(-0.20444444444444446)],[np.float64(-0.3022222222222222)],[1],[0],[0],[1.665638699894771],['target'],20,0,20,0,27.056612099986523,,5,27.050420900108293,27.056612099986523,27.056612099986523,0.015863799955695868,28.716175500070676,[np.float64(-0.20444444444444446)],[np.float64(-0.3022222222222222)],[1],[0],[0],[1.665638699894771],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
21,0,21,[np.float64(0.10777777777777778)],[np.float64(0.04)],[1],[0],[0],[1.5987553999293596],['target'],21,0,21,0,28.740925900172442,,5,28.732896100031212,28.740925900172442,28.740925900172442,0.016515200026333332,30.331817500060424,[np.float64(0.10777777777777778)],[np.float64(0.04)],[1],[0],[0],[1.5987553999293596],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
22,0,22,[np.float64(0.10611111111111111)],[np.float64(-0.0022222222222222222)],[1],[0],[0],[0.8493900999892503],['target'],22,0,22,0,30.36457430012524,,5,30.34987570019439,30.36457430012524,30.36457430012524,0.017730799969285727,31.199370000045747,[np.float64(0.10611111111111111)],[np.float64(-0.0022222222222222222)],[1],[0],[0],[0.8493900999892503],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
23,0,23,[np.float64(-0.01)],[np.float64(0.09555555555555556)],[1],[0],[0],[1.1497568998020142],['target'],23,0,23,0,31.222934700082988,,5,31.2156378000509,31.222934700082988,31.222934700082988,0.016085100127384067,32.36550100008026,[np.float64(-0.01)],[np.float64(0.09555555555555556)],[1],[0],[0],[1.1497568998020142],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
24,0,24,[np.float64(0.11277777777777778)],[np.float64(0.2588888888888889)],[1],[0],[0],[1.1007784998510033],['target'],24,0,24,0,32.38832290004939,,5,32.38114620000124,32.38832290004939,32.38832290004939,0.015453299973160028,33.48202070011757,[np.float64(0.11277777777777778)],[np.float64(0.2588888888888889)],[1],[0],[0],[1.1007784998510033],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
25,0,25,[np.float64(0.32611111111111113)],[np.float64(0.07166666666666667)],[1],[0],[0],[1.0454777998384088],['target'],25,0,25,0,33.51321620005183,,5,33.50240090000443,33.51321620005183,33.51321620005183,0.0202182000502944,34.5480145001784,[np.float64(0.32611111111111113)],[np.float64(0.07166666666666667)],[1],[0],[0],[1.0454777998384088],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
26,0,26,[np.float64(0.2338888888888889)],[np.float64(-0.2783333333333333)],[1],[0],[0],[1.3506851999554783],['target'],26,0,26,0,34.573361300164834,,5,34.56582700018771,34.573361300164834,34.573361300164834,0.017565299989655614,35.916610800195485,[np.float64(0.2338888888888889)],[np.float64(-0.2783333333333333)],[1],[0],[0],[1.3506851999554783],['target'],participant 5,001,2025-09-30_14h00.14.836,Visual Search,,2025.1.1,60.11190436149224,2025-09-30 14h01.04.067501 +0530,
