thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.45222222222222225)],[np.float64(-0.2338888888888889)],[1],[0],[0],[1.5101073998957872],['target'],0,0,0,0,0.023809299804270267,,5,0.01737899985164404,0.023809299804270267,0.023809299804270267,0.01739989989437163,1.5275402998086065,[np.float64(0.45222222222222225)],[np.float64(-0.2338888888888889)],[1],[0],[0],[1.5101073998957872],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
1,0,1,[np.float64(-0.265)],[np.float64(-0.03833333333333333)],[1],[0],[0],[1.6222977000288665],['target'],1,0,1,0,1.5419065000023693,,5,1.536759999813512,1.5419065000023693,1.5419065000023693,0.009114200016483665,3.1591183999553323,[np.float64(-0.265)],[np.float64(-0.03833333333333333)],[1],[0],[0],[1.6222977000288665],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
2,0,2,[np.float64(-0.34944444444444445)],[np.float64(0.31777777777777777)],[1],[0],[0],[1.3229360999539495],['target'],2,0,2,0,3.175286900019273,,5,3.170202099950984,3.175286900019273,3.175286900019273,0.010981200030073524,4.493192499969155,[np.float64(-0.34944444444444445)],[np.float64(0.31777777777777777)],[1],[0],[0],[1.3229360999539495],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
3,0,3,[np.float64(0.205)],[np.float64(-0.11833333333333333)],[1],[0],[0],[1.5810790001414716],['target'],3,0,3,0,4.518899499904364,,10,4.511873799841851,4.518899499904364,4.518899499904364,0.01860000006854534,6.093022499931976,[np.float64(0.205)],[np.float64(-0.11833333333333333)],[1],[0],[0],[1.5810790001414716],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
4,0,4,[np.float64(-0.02666666666666667)],[np.float64(-0.3194444444444444)],[1],[0],[0],[1.2406484999228269],['target'],4,0,4,0,6.10839829989709,,5,6.101821899879724,6.10839829989709,6.10839829989709,0.00869549997150898,7.3425348999444395,[np.float64(-0.02666666666666667)],[np.float64(-0.3194444444444444)],[1],[0],[0],[1.2406484999228269],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
5,0,5,[np.float64(0.28055555555555556)],[np.float64(-0.3055555555555556)],[1],[0],[0],[1.7470736999530345],['target'],5,0,5,0,7.3691244998481125,,10,7.3623134000226855,7.3691244998481125,7.3691244998481125,0.019688199972733855,9.109453700017184,[np.float64(0.28055555555555556)],[np.float64(-0.3055555555555556)],[1],[0],[0],[1.7470736999530345],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
6,0,6,[np.float64(-0.4661111111111111)],[np.float64(0.4166666666666667)],[1],[0],[0],[1.3876112999860197],['target'],6,0,6,0,9.126971299992874,,5,9.121600999962538,9.126971299992874,9.126971299992874,0.012005799915641546,10.509272599825636,[np.float64(-0.4661111111111111)],[np.float64(0.4166666666666667)],[1],[0],[0],[1.3876112999860197],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
7,0,7,[np.float64(-0.10666666666666667)],[np.float64(0.39055555555555554)],[1],[0],[0],[1.8473374000750482],['target'],7,0,7,0,10.537788099842146,,10,10.531019899994135,10.537788099842146,10.537788099842146,0.02165520004928112,12.378459599800408,[np.float64(-0.10666666666666667)],[np.float64(0.39055555555555554)],[1],[0],[0],[1.8473374000750482],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
8,0,8,[np.float64(0.09277777777777778)],[np.float64(-0.295)],[1],[0],[0],[1.3714691998902708],['target'],8,0,8,0,12.411802599905059,,10,12.404887899989262,12.411802599905059,12.411802599905059,0.02618320006877184,13.776435199892148,[np.float64(0.09277777777777778)],[np.float64(-0.295)],[1],[0],[0],[1.3714691998902708],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
9,0,9,[np.float64(-0.04777777777777778)],[np.float64(0.21611111111111111)],[1],[0],[0],[1.0228945000562817],['target'],9,0,9,0,13.791626799851656,,5,13.786345299798995,13.791626799851656,13.791626799851656,0.009777899831533432,14.809304700000212,[np.float64(-0.04777777777777778)],[np.float64(0.21611111111111111)],[1],[0],[0],[1.0228945000562817],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
10,0,10,[np.float64(-0.1811111111111111)],[np.float64(-0.08444444444444445)],[1],[0],[0],[1.238035700051114],['target'],10,0,10,0,14.827061799820513,,5,14.821232999907807,14.827061799820513,14.827061799820513,0.011811199830844998,16.059320099884644,[np.float64(-0.1811111111111111)],[np.float64(-0.08444444444444445)],[1],[0],[0],[1.238035700051114],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
11,0,11,[np.float64(-0.475)],[np.float64(0.12666666666666668)],[1],[0],[0],[2.151860099984333],['target'],11,0,11,0,16.081483699847013,,10,16.074140699813142,16.081483699847013,16.081483699847013,0.014738800004124641,18.226050599943846,[np.float64(-0.475)],[np.float64(0.12666666666666668)],[1],[0],[0],[2.151860099984333],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
12,0,12,[np.float64(0.2038888888888889)],[np.float64(0.29555555555555557)],[1],[0],[0],[1.5482936999760568],['target'],12,0,12,0,18.25134569988586,,10,18.24431429989636,18.25134569988586,18.25134569988586,0.018175399862229824,19.792667999863625,[np.float64(0.2038888888888889)],[np.float64(0.29555555555555557)],[1],[0],[0],[1.5482936999760568],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
13,0,13,[np.float64(0.24222222222222223)],[np.float64(0.058333333333333334)],[1],[0],[0],[1.2241390000563115],['target'],13,0,13,0,19.808023399906233,,5,19.801948899868876,19.808023399906233,19.808023399906233,0.009157600114122033,21.02615059982054,[np.float64(0.24222222222222223)],[np.float64(0.058333333333333334)],[1],[0],[0],[1.2241390000563115],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
14,0,14,[np.float64(0.05722222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[1.6232283997815102],['target'],14,0,14,0,21.04138830001466,,5,21.035720499930903,21.04138830001466,21.04138830001466,0.009467399911954999,22.658999899867922,[np.float64(0.05722222222222222)],[np.float64(-0.30333333333333334)],[1],[0],[0],[1.6232283997815102],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
15,0,15,[np.float64(0.22333333333333333)],[np.float64(0.3516666666666667)],[1],[0],[0],[1.3823569000232965],['target'],15,0,15,0,22.683378499932587,,10,22.676765699870884,22.683378499932587,22.683378499932587,0.01767529989592731,24.059181299991906,[np.float64(0.22333333333333333)],[np.float64(0.3516666666666667)],[1],[0],[0],[1.3823569000232965],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
16,0,16,[np.float64(-0.12833333333333333)],[np.float64(-0.185)],[1],[0],[0],[1.0663578000385314],['target'],16,0,16,0,24.0828835000284,,10,24.076241299975663,24.0828835000284,24.0828835000284,0.01690080016851425,25.142668299842626,[np.float64(-0.12833333333333333)],[np.float64(-0.185)],[1],[0],[0],[1.0663578000385314],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
17,0,17,[np.float64(0.058333333333333334)],[np.float64(-0.1338888888888889)],[1],[0],[0],[1.123826399911195],['target'],17,0,17,0,25.158419099869207,,5,25.151661799987778,25.158419099869207,25.158419099869207,0.00887040002271533,26.275533200008795,[np.float64(0.058333333333333334)],[np.float64(-0.1338888888888889)],[1],[0],[0],[1.123826399911195],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
18,0,18,[np.float64(0.25166666666666665)],[np.float64(0.43166666666666664)],[1],[0],[0],[1.617247600108385],['target'],18,0,18,0,26.3009410998784,,10,26.29165709996596,26.3009410998784,26.3009410998784,0.016108700074255466,27.908937899861485,[np.float64(0.25166666666666665)],[np.float64(0.43166666666666664)],[1],[0],[0],[1.617247600108385],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
19,0,19,[np.float64(0.03111111111111111)],[np.float64(0.16555555555555557)],[1],[0],[0],[1.2258453001268208],['target'],19,0,19,0,27.92470550001599,,5,27.917081199819222,27.92470550001599,27.92470550001599,0.008049000054597855,29.142965399893,[np.float64(0.03111111111111111)],[np.float64(0.16555555555555557)],[1],[0],[0],[1.2258453001268208],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
20,0,20,[np.float64(-0.30722222222222223)],[np.float64(0.3605555555555556)],[1],[0],[0],[1.4085506000556052],['target'],20,0,20,0,29.158412599936128,,5,29.150737799936906,29.158412599936128,29.158412599936128,0.0077089001424610615,30.559334499994293,[np.float64(-0.30722222222222223)],[np.float64(0.3605555555555556)],[1],[0],[0],[1.4085506000556052],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
21,0,21,[np.float64(-0.35444444444444445)],[np.float64(0.2561111111111111)],[1],[0],[0],[1.1253788999747485],['target'],21,0,21,0,30.57507889997214,,5,30.56679409998469,30.57507889997214,30.57507889997214,0.007385400123894215,31.692227500025183,[np.float64(-0.35444444444444445)],[np.float64(0.2561111111111111)],[1],[0],[0],[1.1253788999747485],['target'],participant 2,001,2025-09-30_13h47.04.218,Visual Search,,2025.1.1,59.95329643126563,2025-09-30 13h47.14.172636 +0530,
