study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Studytext.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,Test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Police,0,0,0,1.02,4.372678999789059,,,,,,,,,,,,0,0,0,12,,,,,0.035701700020581484,,0.024099099915474653,0.035701700020581484,0.035701700020581484,4.412003200035542,1.02,4.372678999789059,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Case,1,1,0,3.008888888888889,4.76073809992522,,,,,,,,,,,,0,1,1,10,,,,,4.427047300152481,,4.419067999813706,4.427047300152481,4.427047300152481,9.195397899951786,3.008888888888889,4.76073809992522,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
marble,2,2,0,1,1.610286499839276,,,,,,,,,,,,0,2,2,3,,,,,9.210908300243318,,9.201651399955153,9.210908300243318,9.210908300243318,10.827989200130105,1,1.610286499839276,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Cruise,3,3,0,4.02,3.28142759995535,,,,,,,,,,,,0,3,3,11,,,,,10.843634000048041,,10.830489799845964,10.843634000048041,10.843634000048041,14.128381500020623,4.02,3.28142759995535,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
board,4,4,0,1.008888888888889,1.7272661998867989,,,,,,,,,,,,0,4,4,4,,,,,14.14368089986965,,14.134538299869746,14.14368089986965,14.14368089986965,15.878583100158721,1.008888888888889,1.7272661998867989,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
book,5,5,0,1.0,0.847081399988383,,,,,,,,,,,,0,5,5,0,,,,,15.894081000238657,,15.881775900255889,15.894081000238657,15.894081000238657,16.74602260021493,1.0,0.847081399988383,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Laptop,6,6,0,1.0,1.756923799868673,,,,,,,,,,,,0,6,6,5,,,,,16.762850500177592,,16.75450950022787,16.762850500177592,16.762850500177592,18.527848199941218,1.0,1.756923799868673,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Chart,7,7,0,1.0,0.9796461001969874,,,,,,,,,,,,0,7,7,6,,,,,18.54357729991898,,18.532869200222194,18.54357729991898,18.54357729991898,19.52923300024122,1.0,0.9796461001969874,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Poster,8,8,0,1.0,1.496389599982649,,,,,,,,,,,,0,8,8,14,,,,,19.54349509999156,,19.53407229995355,19.54349509999156,19.54349509999156,21.04527600016445,1.0,1.496389599982649,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Pastry,9,9,0,2.991111111111111,3.11051610019058,,,,,,,,,,,,0,9,9,9,,,,,21.06019950006157,,21.0524075999856,21.06019950006157,21.06019950006157,24.178772100247443,2.991111111111111,3.11051610019058,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
phone,10,10,0,1,2.460823599714786,,,,,,,,,,,,0,10,10,2,,,,,24.193653599824756,,24.18532339995727,24.193653599824756,24.193653599824756,26.662336099892855,1,2.460823599714786,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
mouse,11,11,0,4.98,4.911680999677628,,,,,,,,,,,,0,11,11,8,,,,,26.677324099931866,,26.667127599939704,26.677324099931866,26.677324099931866,31.59496119990945,4.98,4.911680999677628,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
cushion,12,12,0,1,1.7299087001010776,,,,,,,,,,,,0,12,12,1,,,,,31.610526700038463,,31.599453500006348,31.610526700038463,31.610526700038463,33.345383500214666,1,1.7299087001010776,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
Keys,13,13,0,1,1.8773469999432564,,,,,,,,,,,,0,13,13,13,,,,,33.36055239988491,,33.351770400069654,33.36055239988491,33.36055239988491,35.24487810023129,1,1.8773469999432564,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
T-shirt,14,14,0,1,0.8425218998454511,,,,,,,,,,,,0,14,14,7,,,,,35.260159799829125,,35.252090100198984,35.260159799829125,35.260159799829125,36.11088210018352,1,0.8425218998454511,,,,,,,,,,,,,,,,participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,0,0,0,,,_ha_t,Chart,old,chart,"[np.float64(0.008888888888888889), np.float64(-0.019444444444444445)]","[np.float64(0.0038888888888888888), np.float64(-0.27444444444444444)]","[1, 1]","[0, 0]","[0, 0]","[6.440908200107515, 17.72381170000881]","[None, 'submit_text']",,,,,0,0,0,1,36.128997900057584,,,,,,,,36.12161959987134,36.128997900057584,36.128997900057584,36.128997900057584,0.010706000030040741,46.143788900226355,53.845684099942446,chart,"[np.float64(0.008888888888888889), np.float64(-0.019444444444444445)]","[np.float64(0.0038888888888888888), np.float64(-0.27444444444444444)]","[1, 1]","[0, 0]","[0, 0]","[6.440908200107515, 17.72381170000881]","[None, 'submit_text']",participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,1,1,0,,,_a_bl_,Marble,old,marble,[np.float64(0.01)],[np.float64(-0.2827777777777778)],[1],[0],[0],[8.227966899983585],['submit_text'],,,,,0,1,1,11,53.8602847000584,,,,,,,,53.84982170024887,53.8602847000584,53.8602847000584,53.8602847000584,0.003919200040400028,,62.078109099995345,marble,[np.float64(0.01)],[np.float64(-0.2827777777777778)],[1],[0],[0],[8.227966899983585],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,2,2,0,,,ta_l_,Table,new,table,[np.float64(0.03277777777777778)],[np.float64(-0.30944444444444447)],[1],[0],[0],[7.229116800241172],['submit_text'],,,,,0,2,2,15,62.09349660016596,,,,,,,,62.08272079983726,62.09349660016596,62.09349660016596,62.09349660016596,0.004426199942827225,,69.31224789982662,table,[np.float64(0.03277777777777778)],[np.float64(-0.30944444444444447)],[1],[0],[0],[7.229116800241172],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,3,3,0,,,T_hi_t,Tshirt,old,tshirt,[np.float64(0.02)],[np.float64(-0.2961111111111111)],[1],[0],[0],[4.461001299787313],['submit_text'],,,,,0,3,3,2,69.32664470002055,,,,,,,,69.31725710025057,69.32664470002055,69.32664470002055,69.32664470002055,0.004789299797266722,,73.77853519981727,tshirt,[np.float64(0.02)],[np.float64(-0.2961111111111111)],[1],[0],[0],[4.461001299787313],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,4,4,0,,,p_nc_l,Pencil,new,pencil,[np.float64(0.014444444444444444)],[np.float64(-0.2838888888888889)],[1],[0],[0],[4.76100069982931],['submit_text'],,,,,0,4,4,16,73.79342450015247,,,,,,,,73.78240359993652,73.79342450015247,73.79342450015247,73.79342450015247,0.0037206998094916344,,78.54376420006156,pencil,[np.float64(0.014444444444444444)],[np.float64(-0.2838888888888889)],[1],[0],[0],[4.76100069982931],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,5,5,0,,,K_y_,Keys,old,"keys
",[np.float64(0.025)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.914961900096387],['submit_text'],,,,,0,5,5,8,78.55998260015622,,,,,,,,78.54699150007218,78.55998260015622,78.55998260015622,78.55998260015622,0.0030350000597536564,,83.46239570016041,"keys
",[np.float64(0.025)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.914961900096387],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,6,6,0,,,c_m_ra,Camera,new,camera,[np.float64(-0.0044444444444444444)],[np.float64(-0.30833333333333335)],[1],[0],[0],[4.844045199919492],['submit_text'],,,,,0,6,6,19,83.47707949997857,,,,,,,,83.4680300001055,83.47707949997857,83.47707949997857,83.47707949997857,0.005317400209605694,,88.31251870002598,camera,[np.float64(-0.0044444444444444444)],[np.float64(-0.30833333333333335)],[1],[0],[0],[4.844045199919492],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
,7,7,0,,,_r_is_,Cruise,old,,[np.float64(-0.0044444444444444444)],[np.float64(-0.30833333333333335)],[1],[0],[0],[14.659260400105268],['submit_text'],,,,,0,7,7,6,88.32616400020197,,,,,,,,88.31793090002611,88.32616400020197,88.32616400020197,88.32616400020197,0.0051878998056054115,98.32624369999394,102.97753830021247,,[np.float64(-0.0044444444444444444)],[np.float64(-0.30833333333333335)],[1],[0],[0],[14.659260400105268],['submit_text'],participant_3,001,2025-10-13_17h21.42.140,Deeya Word Priming,,2025.1.1,60.09160369459368,2025-10-13 17h23.48.406444 +0530,
